Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 16:16:00.000 GMT+0100,06.01.2020 16:16:00,06.01.2020,16:16:00,288.598,288.598,288.447,288.527,1.671
06.01.2020 16:17:00.000 GMT+0100,06.01.2020 16:17:00,06.01.2020,16:17:00,288.548,288.628,288.447,288.547,1.125
06.01.2020 16:18:00.000 GMT+0100,06.01.2020 16:18:00,06.01.2020,16:18:00,288.548,288.598,288.547,288.578,1.575
06.01.2020 16:19:00.000 GMT+0100,06.01.2020 16:19:00,06.01.2020,16:19:00,288.598,288.637,288.398,288.498,2.064
06.01.2020 16:20:00.000 GMT+0100,06.01.2020 16:20:00,06.01.2020,16:20:00,288.538,288.638,288.427,288.598,2.2035
06.01.2020 16:21:00.000 GMT+0100,06.01.2020 16:21:00,06.01.2020,16:21:00,288.578,288.737,288.578,288.697,2.121
06.01.2020 16:22:00.000 GMT+0100,06.01.2020 16:22:00,06.01.2020,16:22:00,288.737,289.187,288.737,289.187,2.8965
06.01.2020 16:23:00.000 GMT+0100,06.01.2020 16:23:00,06.01.2020,16:23:00,289.197,289.398,289.197,289.398,0.951
06.01.2020 16:24:00.000 GMT+0100,06.01.2020 16:24:00,06.01.2020,16:24:00,289.398,289.398,289.227,289.327,2.136
06.01.2020 16:25:00.000 GMT+0100,06.01.2020 16:25:00,06.01.2020,16:25:00,289.348,289.538,289.327,289.498,1.0275
06.01.2020 16:26:00.000 GMT+0100,06.01.2020 16:26:00,06.01.2020,16:26:00,289.538,289.648,289.478,289.578,2.304
06.01.2020 16:27:00.000 GMT+0100,06.01.2020 16:27:00,06.01.2020,16:27:00,289.578,289.677,289.578,289.677,2.865
06.01.2020 16:28:00.000 GMT+0100,06.01.2020 16:28:00,06.01.2020,16:28:00,289.648,289.648,289.497,289.498,0.453
06.01.2020 16:29:00.000 GMT+0100,06.01.2020 16:29:00,06.01.2020,16:29:00,289.497,289.747,289.497,289.727,0.552
06.01.2020 16:30:00.000 GMT+0100,06.01.2020 16:30:00,06.01.2020,16:30:00,289.738,289.848,289.628,289.628,2.1255
06.01.2020 16:31:00.000 GMT+0100,06.01.2020 16:31:00,06.01.2020,16:31:00,289.628,289.677,289.537,289.537,1.935
06.01.2020 16:32:00.000 GMT+0100,06.01.2020 16:32:00,06.01.2020,16:32:00,289.498,289.498,289.397,289.438,1.2735
06.01.2020 16:33:00.000 GMT+0100,06.01.2020 16:33:00,06.01.2020,16:33:00,289.438,289.528,289.278,289.278,2.0685
06.01.2020 16:34:00.000 GMT+0100,06.01.2020 16:34:00,06.01.2020,16:34:00,289.278,289.538,289.278,289.448,1.479
06.01.2020 16:35:00.000 GMT+0100,06.01.2020 16:35:00,06.01.2020,16:35:00,289.447,289.748,289.447,289.748,1.6605
06.01.2020 16:36:00.000 GMT+0100,06.01.2020 16:36:00,06.01.2020,16:36:00,289.748,289.798,289.698,289.798,1.4415
06.01.2020 16:37:00.000 GMT+0100,06.01.2020 16:37:00,06.01.2020,16:37:00,289.797,289.938,289.787,289.897,1.7025
06.01.2020 16:38:00.000 GMT+0100,06.01.2020 16:38:00,06.01.2020,16:38:00,289.898,290.048,289.847,290.048,2.09
06.01.2020 16:39:00.000 GMT+0100,06.01.2020 16:39:00,06.01.2020,16:39:00,290.047,290.125,289.938,289.948,0.8955
06.01.2020 16:40:00.000 GMT+0100,06.01.2020 16:40:00,06.01.2020,16:40:00,289.947,290.048,289.887,289.988,2.949
06.01.2020 16:41:00.000 GMT+0100,06.01.2020 16:41:00,06.01.2020,16:41:00,289.988,290.148,289.978,290.148,1.794
06.01.2020 16:42:00.000 GMT+0100,06.01.2020 16:42:00,06.01.2020,16:42:00,290.147,290.398,290.147,290.297,2.601
06.01.2020 16:43:00.000 GMT+0100,06.01.2020 16:43:00,06.01.2020,16:43:00,290.297,290.347,290.147,290.347,1.2555
06.01.2020 16:44:00.000 GMT+0100,06.01.2020 16:44:00,06.01.2020,16:44:00,290.348,290.497,290.248,290.427,3.336
06.01.2020 16:45:00.000 GMT+0100,06.01.2020 16:45:00,06.01.2020,16:45:00,290.448,290.497,290.337,290.398,3.6885
06.01.2020 16:46:00.000 GMT+0100,06.01.2020 16:46:00,06.01.2020,16:46:00,290.398,290.438,290.287,290.397,1.686
06.01.2020 16:47:00.000 GMT+0100,06.01.2020 16:47:00,06.01.2020,16:47:00,290.398,290.438,290.298,290.347,1.1625
06.01.2020 16:48:00.000 GMT+0100,06.01.2020 16:48:00,06.01.2020,16:48:00,290.348,290.348,290.327,290.347,0.711
06.01.2020 16:49:00.000 GMT+0100,06.01.2020 16:49:00,06.01.2020,16:49:00,290.347,290.378,290.187,290.187,1.602
