Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 19:15:00.000 GMT+0100,06.01.2020 19:15:00,06.01.2020,19:15:00,13133.2,13134.2,13132.16,13133.65,0.0258
06.01.2020 19:16:00.000 GMT+0100,06.01.2020 19:16:00,06.01.2020,19:16:00,13133.9,13133.9,13132.15,13132.65,0.0242
06.01.2020 19:17:00.000 GMT+0100,06.01.2020 19:17:00,06.01.2020,19:17:00,13133.3,13134.36,13132.68,13134.3,0.021
06.01.2020 19:18:00.000 GMT+0100,06.01.2020 19:18:00,06.01.2020,19:18:00,13133.85,13134.17,13132.68,13133.2,0.0189
06.01.2020 19:19:00.000 GMT+0100,06.01.2020 19:19:00,06.01.2020,19:19:00,13132.7,13133.66,13131.65,13131.67,0.029
06.01.2020 19:20:00.000 GMT+0100,06.01.2020 19:20:00,06.01.2020,19:20:00,13131.89,13134,13131.68,13133.68,0.0232
06.01.2020 19:21:00.000 GMT+0100,06.01.2020 19:21:00,06.01.2020,19:21:00,13133.89,13134.69,13132.85,13133.7,0.0362
06.01.2020 19:22:00.000 GMT+0100,06.01.2020 19:22:00,06.01.2020,19:22:00,13133.87,13133.87,13132.65,13132.65,0.0118
06.01.2020 19:23:00.000 GMT+0100,06.01.2020 19:23:00,06.01.2020,19:23:00,13132.38,13132.8,13131.18,13131.69,0.03
06.01.2020 19:24:00.000 GMT+0100,06.01.2020 19:24:00,06.01.2020,19:24:00,13131.4,13134.2,13131.37,13134.18,0.0289
06.01.2020 19:25:00.000 GMT+0100,06.01.2020 19:25:00,06.01.2020,19:25:00,13133.2,13134.3,13133.2,13133.7,0.0112
06.01.2020 19:26:00.000 GMT+0100,06.01.2020 19:26:00,06.01.2020,19:26:00,13133.7,13134.3,13133.15,13134.19,0.0167
06.01.2020 19:27:00.000 GMT+0100,06.01.2020 19:27:00,06.01.2020,19:27:00,13134,13134.4,13133.35,13133.4,0.0262
06.01.2020 19:28:00.000 GMT+0100,06.01.2020 19:28:00,06.01.2020,19:28:00,13133.3,13134.69,13133.3,13133.88,0.0217
06.01.2020 19:29:00.000 GMT+0100,06.01.2020 19:29:00,06.01.2020,19:29:00,13134.18,13135.17,13134.18,13135.17,0.0157
06.01.2020 19:30:00.000 GMT+0100,06.01.2020 19:30:00,06.01.2020,19:30:00,13135.68,13136.68,13134.66,13136.68,0.0154
